"word_kanji","kana_parsed","kana_parsed2","hangul"
軍縮,グン|シュク,グン|シュク,군축
切削,セッ|サク,セッ|サク,절삭
工具,コウ|グ,コー|グ,공구
赤軍,セキ|グン,セキ|グン,적군
発現,ハツ|ゲン,ハツ|ゲン,발현
副腎,フク|ジン,フク|ジン,부신
久保,ク|ボ,ク|ボ,구보
腹式呼吸,フク|シキ|コ|キュウ,フク|シキ|コ|キュー,복식호흡
重複,ジュウ|フク,ジュー|フク,중복
靭帯,ジン|タイ,ジン|タイ,인대
槐,エン,エン,괴
小甲,コ|カブト,コ|カブト,소갑
中丁,ナカ|チョウ,ナカ|チョー,중정
極大,キョク|ダイ,キョク|ダイ,극대
共和,キョウ|ワ,キョー|ワ,공화
快速,カイ|ソク,カイ|ソク,쾌속
紋章,モン|ショウ,モン|ショー,문장
伝道,デン|ドウ,デン|ドー,전도
妄想,モウ|ソウ,モー|ソー,망상
南蛮,ナン|バン,ナン|バン,남만
中正,チュウ|セイ,チュー|セイ,중정
走行,ソウ|コウ,ソー|コー,주행
中,チュウ,チュー,중
岡山,オカ|ヤマ,オカ|ヤマ,강산
頭脳,ズ|ノウ,ズ|ノー,두뇌
万国,バン|コク,バン|コク,만국
地帯,チ|タイ,チ|タイ,지대
事務所,ジ|ム|ショ,ジ|ム|ショ,사무소
事業,ジ|ギョウ,ジ|ギョー,사업
中米,チュウ|ベイ,チュー|ベイ,중미
関山,セキ|ヤマ,セキ|ヤマ,관산
形成,ケイ|セイ,ケイ|セイ,형성
浚渫,シュン|セツ,シュン|セツ,준설
前科,ゼン|カ,ゼン|カ,전과
併合,ヘイ|ゴウ,ヘイ|ゴー,병합
試行錯誤,シ|コウ|サク|ゴ,シ|コー|サク|ゴ,시행착오
攻勢,コウ|セイ,コー|セイ,공세
洪成南,コウ|セイ|ナン,コー|セイ|ナン,홍성남
銃,ジュウ,ジュー,총
監査,カン|サ,カン|サ,감사
人,ジン,ジン,인
團,ダン,ダン,단
管区,カン|ク,カン|ク,관구
官房,カン|ボウ,カン|ボー,관방
権謀術数,ケン|ボウ|ジュッ|スウ,ケン|ボー|ジュッ|スー,권모술수
要人,ヨウ|ジン,ヨー|ジン,요인
配色,ハイ|ショク,ハイ|ショク,배색
北部,ホク|ブ,ホク|ブ,북부
中部,チュウ|ブ,チュー|ブ,중부
結集,ケッ|シュウ,ケッ|シュー,결집
失明,シツ|メイ,シツ|メイ,실명
発熱,ハツ|ネツ,ハツ|ネツ,발열
剣舞,ケン|ブ,ケン|ブ,검무
工事,コウ|ジ,コー|ジ,공사
部門,ブ|モン,ブ|モン,부문
下級,カ|キュウ,カ|キュー,하급
官吏,カン|リ,カン|リ,관리
組合,ク|ミアイ,ク|ミアイ,조합
上皮,ジョウ|ヒ,ジョー|ヒ,상피
光州,コウ|シュウ,コー|シュー,광주
要素,ヨウ|ソ,ヨー|ソ,요소
破門,ハ|モン,ハ|モン,파문
弓術,キュウ|ジュツ,キュー|ジュツ,궁술
千里眼,セン|リ|ガン,セン|リ|ガン,천리안
関連,カン|レン,カン|レン,관련
法服,ホウ|フク,ホー|フク,법복
完投,カン|トウ,カン|トー,완투
失策,シッ|サク,シッ|サク,실책
接線,セッ|セン,セッ|セン,접선
死活,シ|カツ,シ|カツ,사활
予知,ヨ|チ,ヨ|チ,예지
実効,ジッ|コウ,ジッ|コー,실효
支配,シ|ハイ,シ|ハイ,지배
行軍,コウ|グン,コー|グン,행군
犠牲,ギ|セイ,ギ|セイ,희생
聖火,セイ|カ,セイ|カ,성화
水域,スイ|イキ,スイ|イキ,수역
王位,オウ|イ,オー|イ,왕위
継承,ケイ|ショウ,ケイ|ショー,계승
順位,ジュン|イ,ジュン|イ,순위
比重,ヒ|ジュウ,ヒ|ジュー,비중
船長,セン|チョウ,セン|チョー,선장
電磁石,デン|ジ|シャク,デン|ジ|シャク,전자석
勝利,ショウ|リ,ショー|リ,승리
暴投,ボウ|トウ,ボー|トー,폭투
餃子,ギョウ|ザ,ギョー|ザ,교자
香,コウ,コー,향
帝位,テイ|イ,テイ|イ,제위
寒冷,カン|レイ,カン|レイ,한랭
戦後,セン|ゴ,セン|ゴ,전후
回遊,カイ|ユウ,カイ|ユー,회유
変位,ヘン|イ,ヘン|イ,변위
鉄橋,テッ|キョウ,テッ|キョー,철교
予告編,ヨ|コク|ヘン,ヨ|コク|ヘン,예고편
昇天,ショウ|テン,ショー|テン,승천
征伐,セイ|バツ,セイ|バツ,정벌
光武,ミツ|タケ,ミツ|タケ,광무
紡錘,ボウ|スイ,ボー|スイ,방추
段落,ダン|ラク,ダン|ラク,단락
主題歌,シュ|ダイ|カ,シュ|ダイ|カ,주제가
洋菓子,ヨウ|ガ|シ,ヨー|ガ|シ,양과자
最前線,サイ|ゼン|セン,サイ|ゼン|セン,최전선
二人三脚,ニ|ニン|サン|キャク,ニ|ニン|サン|キャク,이인삼각
運動会,ウン|ドウ|カイ,ウン|ドー|カイ,운동회
階段,カイ|ダン,カイ|ダン,계단
妖精,ヨウ|セイ,ヨー|セイ,요정
可憐,カ|レン,カ|レン,가련
全国,ゼン|コク,ゼン|コク,전국
膝蓋骨,シツ|ガイ|コツ,シツ|ガイ|コツ,슬개골
地熱,チ|ネツ,チ|ネツ,지열
死票,シ|ヒョウ,シ|ヒョー,사표
上水道,ジョウ|スイ|ドウ,ジョー|スイ|ドー,상수도
下水道,ゲ|スイ|ドウ,ゲ|スイ|ドー,하수도
許,モト,モト,허
農工,ノウ|コウ,ノー|コー,농공
風林火山,フウ|リン|カ|ザン,フー|リン|カ|ザン,풍림화산
白地図,ハク|チ|ズ,ハク|チ|ズ,백지도
水葬,スイ|ソウ,スイ|ソー,수장
埋葬,マイ|ソウ,マイ|ソー,매장
外傷,ガイ|ショウ,ガイ|ショー,외상
行事,ギョウ|ジ,ギョー|ジ,행사
孤児,コ|ジ,コ|ジ,고아
鉱山,コウ|ザン,コー|ザン,광산
漁港,ギョ|コウ,ギョ|コー,어항
家督,カ|トク,カ|トク,가독
水生,スイ|セイ,スイ|セイ,수생
十八番,ジュウ|ハチ|バン,ジュー|ハチ|バン,십팔번
少年院,ショウ|ネン|イン,ショー|ネン|イン,소년원
速記,ソッ|キ,ソッ|キ,속기
舞台,ブ|タイ,ブ|タイ,무대
消火栓,ショウ|カ|セン,ショー|カ|セン,소화전
出欠,シュッ|ケツ,シュッ|ケツ,출결
凱旋,ガイ|セン,ガイ|セン,개선
醸造,ジョウ|ゾウ,ジョー|ゾー,양조
裕,ヒロシ,ヒロシ,유
禁煙,キン|エン,キン|エン,금연
東駅,ヒガシ|エキ,ヒガシ|エキ,동역
潜望鏡,セン|ボウ|キョウ,セン|ボー|キョー,잠망경
性格,セイ|カク,セイ|カク,성격
主人公,シュ|ジン|コウ,シュ|ジン|コー,주인공
店,テン,テン,점
鼻炎,ビ|エン,ビ|エン,비염
官邸,カン|テイ,カン|テイ,관저
虐待,ギャク|タイ,ギャク|タイ,학대
衝動,ショウ|ドウ,ショー|ドー,충동
壊血病,カイ|ケツ|ビョウ,カイ|ケツ|ビョー,괴혈병
知恵,チ|エ,チ|エ,지혜
入学,ニュウ|ガク,ニュー|ガク,입학
赤潮,アカ|シオ,アカ|シオ,적조
運命,ウン|メイ,ウン|メイ,운명
航続,コウ|ゾク,コー|ゾク,항속
意味,イ|ミ,イ|ミ,의미
北米,ホク|ベイ,ホク|ベイ,북미
家計調査,カ|ケイ|チョウ|サ,カ|ケイ|チョー|サ,가계조사
地下街,チ|カ|ガイ,チ|カ|ガイ,지하가
地下道,チ|カ|ドウ,チ|カ|ドー,지하도
通路,ツウ|ロ,ツー|ロ,통로
地下,チ|カ,チ|カ,지하
調査,チョウ|サ,チョー|サ,조사
肖像,ショウ|ゾウ,ショー|ゾー,초상
国富,コク|フ,コク|フ,국부
騒擾,ソウ|ジョウ,ソー|ジョー,소요
粘膜,ネン|マク,ネン|マク,점막
表情,ヒョウ|ジョウ,ヒョー|ジョー,표정
注意,チュウ|イ,チュー|イ,주의
耐性,タイ|セイ,タイ|セイ,내성
黄色,キ|イロ,キ|イロ,황색
送致,ソウ|チ,ソー|チ,송치
廃墟,ハイ|キ,ハイ|キ,폐허
体感,タイ|カン,タイ|カン,체감
回送,カイ|ソウ,カイ|ソー,회송
三輪車,サン|リン|シャ,サン|リン|シャ,삼륜차
壊死,エシ|,エシ|,괴사
激変,ゲキ|ヘン,ゲキ|ヘン,격변
区役所,ク|ヤク|ショ,ク|ヤク|ショ,구역소
水中翼船,スイ|チュウ|ヨク|セン,スイ|チュー|ヨク|セン,수중익선
同時,ドウ|ジ,ドー|ジ,동시
長老,チョウ|ロウ,チョー|ロー,장로
樟脳,ショウ|ノウ,ショー|ノー,장뇌
屈性,クッ|セイ,クッ|セイ,굴성
語,ゴ,ゴ,어
撮影,サツ|エイ,サツ|エイ,촬영
音色,ネ|イロ,ネ|イロ,음색
打数,ダ|スウ,ダ|スー,타수
打席,ダ|セキ,ダ|セキ,타석
総譜,ソウ|フ,ソー|フ,총보
守護,シュ|ゴ,シュ|ゴ,수호
聖人,セイ|ジン,セイ|ジン,성인
浮力,フ|リョク,フ|リョク,부력
野望,ヤ|ボウ,ヤ|ボー,야망
倉庫,ソウ|コ,ソー|コ,창고
僭主,セン|シュ,セン|シュ,참주
戦術,セン|ジュツ,セン|ジュツ,전술
霊園,レイ|エン,レイ|エン,령원
新村,ニイ|ムラ,ニー|ムラ,신촌
喉頭,コウ|トウ,コー|トー,후두
孤独,コ|ドク,コ|ドク,고독
木版,モク|ハン,モク|ハン,목판
胡,エビス,エビス,호
裕也,ユウ|ヤ,ユー|ヤ,유야
白鳥,ハク|チョウ,ハク|チョー,백조
輸血,ユ|ケツ,ユ|ケツ,수혈
放浪,ホウ|ロウ,ホー|ロー,방랑
銃口,ジュウ|コウ,ジュー|コー,총구
市役所,シ|ヤク|ショ,シ|ヤク|ショ,시역소
鬼畜,キ|チク,キ|チク,귀축
直轄,チョッ|カツ,チョッ|カツ,직할
月琴,ゲッ|キン,ゲッ|キン,월금
方向,ホウ|コウ,ホー|コー,방향
誓約,セイ|ヤク,セイ|ヤク,서약
境界,キョウ|カイ,キョー|カイ,경계
乗用車,ジョウ|ヨウ|シャ,ジョー|ヨー|シャ,승용차
元老,ゲン|ロウ,ゲン|ロー,원로
宮城,ミヤ|ギ,ミヤ|ギ,궁성
御真影,ゴ|シン|エイ,ゴ|シン|エイ,어진영
移住,イ|ジュウ,イ|ジュー,이주
烏江,カラス|エ,カラス|エ,오강
収益,シュウ|エキ,シュー|エキ,수익
超人,チョウ|ジン,チョー|ジン,초인
茶室,チャ|シツ,チャ|シツ,다실
茶房,サ|ボウ,サ|ボー,다방
制約,セイ|ヤク,セイ|ヤク,제약
充足,ジュウ|ソク,ジュー|ソク,충족
出血,シュッ|ケツ,シュッ|ケツ,출혈
呼吸,コ|キュウ,コ|キュー,호흡
爆撃,バク|ゲキ,バク|ゲキ,폭격
外伝,ガイ|デン,ガイ|デン,외전
原作,ゲン|サク,ゲン|サク,원작
絶望,ゼツ|ボウ,ゼツ|ボー,절망
黄疸,オウ|ダン,オー|ダン,황달
血球,ケッ|キュウ,ケッ|キュー,혈구
三界,サン|ガイ,サン|ガイ,삼계
支線,シ|セン,シ|セン,지선
私塾,シ|ジュク,シ|ジュク,사숙
出演,シュツ|エン,シュツ|エン,출연
告白,コク|ハク,コク|ハク,고백
因縁,イン|ネン,イン|ネン,인연
末法,マッ|ポウ,マッ|ポー,말법
思想,シ|ソウ,シ|ソー,사상
正徳,マサ|ノリ,マサ|ノリ,정덕
弘治,コウ|ジ,コー|ジ,홍치
野蛮,ヤ|バン,ヤ|バン,야만
太陽年,タイ|ヨウ|ネン,タイ|ヨー|ネン,태양년
短刀,タン|トウ,タン|トー,단도
銃剣,ジュウ|ケン,ジュー|ケン,총검
潜水,セン|スイ,セン|スイ,잠수
標題,ヒョウ|ダイ,ヒョー|ダイ,표제
成年,セイ|ネン,セイ|ネン,성년
桂馬,ケイ|マ,ケイ|マ,계마
住所,ジュウ|ショ,ジュー|ショ,주소
檀,ダン,ダン,단
親子,オヤ|コ,オヤ|コ,친자
後見,コウ|ケン,コー|ケン,후견
扶養,フ|ヨウ,フ|ヨー,부양
農学,ノウ|ガク,ノー|ガク,농학
政変,セイ|ヘン,セイ|ヘン,정변
信条,シン|ジョウ,シン|ジョー,신조
受粉,ジュ|フン,ジュ|フン,수분
学術,ガク|ジュツ,ガク|ジュツ,학술
中年,チュウ|ネン,チュー|ネン,중년
乳母,オン|バ,オン|バ,유모
地震動,ジ|シン|ドウ,ジ|シン|ドー,지진동
日常,ニチ|ジョウ,ニチ|ジョー,일상
護法,ゴ|ホウ,ゴ|ホー,호법
病,ビョウ,ビョー,병
坐禅,ザ|ゼン,ザ|ゼン,좌선
偽造,ギ|ゾウ,ギ|ゾー,위조
局所,キョク|ショ,キョク|ショ,국소
菩薩戒,ボ|サツ|カイ,ボ|サツ|カイ,보살계
勇気,ユウ|キ,ユー|キ,용기
美術,ビ|ジュツ,ビ|ジュツ,미술
脚注,キャク|チュウ,キャク|チュー,각주
最大,サイ|ダイ,サイ|ダイ,최대
事後,ジ|ゴ,ジ|ゴ,사후
薬剤,ヤク|ザイ,ヤク|ザイ,약제
結膜炎,ケツ|マク|エン,ケツ|マク|エン,결막염
信頼,シン|ライ,シン|ライ,신뢰
反,ハン,ハン,반
勢力,セイ|リョク,セイ|リョク,세력
大量,タイ|リョウ,タイ|リョー,대량
仏性,ブッ|ショウ,ブッ|ショー,불성
宇宙塵,ウ|チュウ|ジン,ウ|チュー|ジン,우주진
胃酸,イ|サン,イ|サン,위산
避雷針,ヒ|ライ|シン,ヒ|ライ|シン,피뢰침
堤防,テイ|ボウ,テイ|ボー,제방
融解,ユウ|カイ,ユー|カイ,융해
肝不全,カン|フ|ゼン,カン|フ|ゼン,간부전
性感,セイ|カン,セイ|カン,성감
手裏剣,シュ|リ|ケン,シュ|リ|ケン,수리검
石灰,セッ|カイ,セッ|カイ,석회
混同,コン|ドウ,コン|ドー,혼동
定常,テイ|ジョウ,テイ|ジョー,정상
外部,ガイ|ブ,ガイ|ブ,외부
始皇帝,シ|コウ|テイ,シ|コー|テイ,시황제
補佐,ホ|サ,ホ|サ,보좌
発話,ハツ|ワ,ハツ|ワ,발화
行進,コウ|シン,コー|シン,행진
目標,モク|ヒョウ,モク|ヒョー,목표
単行本,タン|コウ|ボン,タン|コー|ボン,단행본
和紙,ワ|シ,ワ|シ,화지
校長,コウ|チョウ,コー|チョー,교장
国債,コク|サイ,コク|サイ,국채
漁網,ギョ|モウ,ギョ|モー,어망
活性炭,カッ|セイ|タン,カッ|セイ|タン,활성탄
感染,カン|セン,カン|セン,감염
食堂,ショク|ドウ,ショク|ドー,식당
外戚,ガイ|セキ,ガイ|セキ,외척
正犯,セイ|ハン,セイ|ハン,정범
脳腫瘍,ノウ|シュ|ヨウ,ノー|シュ|ヨー,뇌종양
人物,ジン|ブツ,ジン|ブツ,인물
拗音,ヨウ|オン,ヨー|オン,요음
索引,サク|イン,サク|イン,색인
企業,キ|ギョウ,キ|ギョー,기업
短期,タン|キ,タン|キ,단기
出入口,デ|イリ|グチ,デ|イリ|グチ,출입구
創発,ソウ|ハツ,ソー|ハツ,창발
親日,シン|ニチ,シン|ニチ,친일
捕食,ホ|ショク,ホ|ショク,포식
国璽,コク|ジ,コク|ジ,국새
上下,ジョウ|ゲ,ジョー|ゲ,상하
浴場,ヨク|ジョウ,ヨク|ジョー,욕장
姦淫,カン|イン,カン|イン,간음
船員,セン|イン,セン|イン,선원
貴族,キ|ゾク,キ|ゾク,귀족
本願,ホン|ガン,ホン|ガン,본원
斑,ムラ,ムラ,반
帝王,テイ|オウ,テイ|オー,제왕
栄養士,エイ|ヨウ|シ,エイ|ヨー|シ,영양사
議員,ギ|イン,ギ|イン,의원
語彙,ゴ|イ,ゴ|イ,어휘
仏像,ブツ|ゾウ,ブツ|ゾー,불상
堆,ウズタカ,ウズタカ,퇴
予備校,ヨ|ビ|コウ,ヨ|ビ|コー,예비교
客土,カク|ド,カク|ド,객토
風食,フウ|ショク,フー|ショク,풍식
尊号,ソン|ゴウ,ソン|ゴー,존호
法帖,ホウ|ジョウ,ホー|ジョー,법첩
篆刻,テン|コク,テン|コク,전각
表具,ヒョウ|グ,ヒョー|グ,표구
興信所,コウ|シン|ジョ,コー|シン|ジョ,흥신소
観音島,カン|ノン|ジマ,カン|ノン|ジマ,관음도
慢性,マン|セイ,マン|セイ,만성
化身,ケ|シン,ケ|シン,화신
参政,サン|セイ,サン|セイ,참정
曲面,キョク|メン,キョク|メン,곡면
粘板岩,ネン|バン|ガン,ネン|バン|ガン,점판암
自治領,ジ|チ|リョウ,ジ|チ|リョー,자치령
裁決,サイ|ケツ,サイ|ケツ,재결
下野,ゲ|ヤ,ゲ|ヤ,하야
美紗,ミ|サ,ミ|サ,미사
編曲,ヘン|キョク,ヘン|キョク,편곡
純潔,ジュン|ケツ,ジュン|ケツ,순결
極右,キョク|ウ,キョク|ウ,극우
善意,ゼン|イ,ゼン|イ,선의
回転,カイ|テン,カイ|テン,회전
軍用,グン|ヨウ,グン|ヨー,군용
国号,コク|ゴウ,コク|ゴー,국호
称号,ショウ|ゴウ,ショー|ゴー,칭호
法師,ホウ|シ,ホー|シ,법사
千,セン,セン,천
合衆国,ガッ|シュウ|コク,ガッ|シュー|コク,합중국
兵役,ヘイ|エキ,ヘイ|エキ,병역
中編,チュウ|ヘン,チュー|ヘン,중편
介入,カイ|ニュウ,カイ|ニュー,개입
宣誓,セン|セイ,セン|セイ,선서
悪夢,アク|ム,アク|ム,악몽
警笛,ケイ|テキ,ケイ|テキ,경적
胆石,タン|セキ,タン|セキ,담석
旋盤,セン|バン,セン|バン,선반
特急,トッ|キュウ,トッ|キュー,특급
上昇,ジョウ|ショウ,ジョー|ショー,상승
錯覚,サッ|カク,サッ|カク,착각
一騎当千,イッ|キ|トウ|セン,イッ|キ|トー|セン,일기당천
幻覚,ゲン|カク,ゲン|カク,환각
学生,ガク|セイ,ガク|セイ,학생
官僚,カン|リョウ,カン|リョー,관료
水中,スイ|チュウ,スイ|チュー,수중
麻酔,マ|スイ,マ|スイ,마취
夜叉,ヤ|シ,ヤ|シ,야차
属領,ゾク|リョウ,ゾク|リョー,속령
地鎮祭,ジ|チン|サイ,ジ|チン|サイ,지진제
検疫,ケン|エキ,ケン|エキ,검역
学科,ガッ|カ,ガッ|カ,학과
建国,ケン|コク,ケン|コク,건국
占拠,セン|キョ,セン|キョ,점거
寝室,シン|シツ,シン|シツ,침실
車庫,シャ|コ,シャ|コ,차고
書斎,ショ|サイ,ショ|サイ,서재
玄関,ゲン|カン,ゲン|カン,현관
暗室,アン|シツ,アン|シツ,암실
密室,ミッ|シツ,ミッ|シツ,밀실
敬礼,ケイ|レイ,ケイ|レイ,경례
皇族,コウ|ゾク,コー|ゾク,황족
装身具,ソウ|シン|グ,ソー|シン|グ,장신구
絆創膏,バン|ソウ|コウ,バン|ソー|コー,반창고
単項,タン|コウ,タン|コー,단항
実写,ジッ|シャ,ジッ|シャ,실사
行幸,ギョウ|コウ,ギョー|コー,행행
排尿,ハイ|ニョウ,ハイ|ニョー,배뇨
血尿,ケツ|ニョウ,ケツ|ニョー,혈뇨
二期作,ニ|キ|サク,ニ|キ|サク,이기작
粘土,ネン|ド,ネン|ド,점토
貨物,カ|モツ,カ|モツ,화물
警部,ケイ|ブ,ケイ|ブ,경부
腹話術,フク|ワ|ジュツ,フク|ワ|ジュツ,복화술
権威,ケン|イ,ケン|イ,권위
公務員,コウ|ム|イン,コー|ム|イン,공무원
偵察,テイ|サツ,テイ|サツ,정찰
魚礁,ギョ|ショウ,ギョ|ショー,어초
義歯,ギ|シ,ギ|シ,의치
外食,ガイ|ショク,ガイ|ショク,외식
白酒,シロ|ザケ,シロ|ザケ,백주
歩道,ホ|ドウ,ホ|ドー,보도
漁村,ギョ|ソン,ギョ|ソン,어촌
魚市場,ウオ|イチ|バ,ウオ|イチ|バ,어시장
中原,ナカ|ハラ,ナカ|ハラ,중원
理紗,リ|サ,リ|サ,리사
珪藻土,ケイ|ソウ|ド,ケイ|ソー|ド,규조토
石材,セキ|ザイ,セキ|ザイ,석재
軽石,カル|イシ,カル|イシ,경석
胎児,タイ|ジ,タイ|ジ,태아
連,レン,レン,련
遊水池,ユウ|スイ|チ,ユー|スイ|チ,유수지
如意宝珠,ニョ|イ|ホウ|ジュ,ニョ|イ|ホー|ジュ,여의보주
怪談,カイ|ダン,カイ|ダン,괴담
伸也,シン|ヤ,シン|ヤ,신야
粘液,ネン|エキ,ネン|エキ,점액
瞑想,メイ|ソウ,メイ|ソー,명상
飢饉,キ|キン,キ|キン,기근
食欲,ショク|ヨク,ショク|ヨク,식욕
再建,サイ|ケン,サイ|ケン,재건
能動態,ノウ|ドウ|タイ,ノー|ドー|タイ,능동태
堆肥,タイ|ヒ,タイ|ヒ,퇴비
愛着,アイ|チャク,アイ|チャク,애착
沈殿,チン|デン,チン|デン,침전
文化服装学院,ブン|カ|フク|ソウ|ガク|イン,ブン|カ|フク|ソー|ガク|イン,문화복장학원
残留,ザン|リュウ,ザン|リュー,잔류
面接,メン|セツ,メン|セツ,면접
塩田,エン|デン,エン|デン,염전
笑劇,ショウ|ゲキ,ショー|ゲキ,소극
長期,チョウ|キ,チョー|キ,장기
接続,セツ|ゾク,セツ|ゾク,접속
融資,ユウ|シ,ユー|シ,융자
毒素,ドク|ソ,ドク|ソ,독소
重要,ジュウ|ヨウ,ジュー|ヨー,중요
遺産,イ|サン,イ|サン,유산
純情,ジュン|ジョウ,ジュン|ジョー,순정
浄化槽,ジョウ|カ|ソウ,ジョー|カ|ソー,정화조
麻也,マ|ヤ,マ|ヤ,마야
前,ゼン,ゼン,전
上皇,ジョウ|コウ,ジョー|コー,상황
排卵,ハイ|ラン,ハイ|ラン,배란
人身,ジン|シン,ジン|シン,인신
博物学,ハク|ブツ|ガク,ハク|ブツ|ガク,박물학
定年,テイ|ネン,テイ|ネン,정년
毒蛇,ドク|ヘビ,ドク|ヘビ,독사
皇位,コウ|イ,コー|イ,황위
軍楽隊,グン|ガク|タイ,グン|ガク|タイ,군악대
魚道,ギョ|ドウ,ギョ|ドー,어도
急流,キュウ|リュウ,キュー|リュー,급류
学用品,ガク|ヨウ|ヒン,ガク|ヨー|ヒン,학용품
万年雪,マン|ネン|ユキ,マン|ネン|ユキ,만년설
等圧線,トウ|アツ|セン,トー|アツ|セン,등압선
会館,カイ|カン,カイ|カン,회관
凍傷,トウ|ショウ,トー|ショー,동상
皇子,オウ|ジ,オー|ジ,황자
南東,ナン|トウ,ナン|トー,남동
文選,ブン|セン,ブン|セン,문선
焚書,フン|ショ,フン|ショ,분서
大発見,ダイ|ハッ|ケン,ダイ|ハッ|ケン,대발견
否認,ヒ|ニン,ヒ|ニン,부인
悪人,アク|ニン,アク|ニン,악인
字体,ジ|タイ,ジ|タイ,자체
代表,ダイ|ヒョウ,ダイ|ヒョー,대표
阿保,ア|ホ,ア|ホ,아보
記念,キ|ネン,キ|ネン,기념
無音,ム|オン,ム|オン,무음
赤目,アカ|メ,アカ|メ,적목
常識,ジョウ|シキ,ジョー|シキ,상식
胎生,タイ|セイ,タイ|セイ,태생
外人,ガイ|ジン,ガイ|ジン,외인
優等,ユウ|トウ,ユー|トー,우등
沿革,エン|カク,エン|カク,연혁
軽蔑,ケイ|ベツ,ケイ|ベツ,경멸
伝声管,デン|セイ|カン,デン|セイ|カン,전성관
即興,ソッ|キョウ,ソッ|キョー,즉흥
演奏,エン|ソウ,エン|ソー,연주
気分,キ|ブン,キ|ブン,기분
果肉,カ|ニク,カ|ニク,과육
果皮,カ|ヒ,カ|ヒ,과피
寒波,カン|パ,カン|パ,한파
燃費,ネン|ピ,ネン|ピ,연비
風刺,フウ|シ,フー|シ,풍자
短距離,タン|キョ|リ,タン|キョ|リ,단거리
長距離,チョウ|キョ|リ,チョー|キョ|リ,장거리
多項,タ|コウ,タ|コー,다항
洗脳,セン|ノウ,セン|ノー,세뇌
